Year of Birth,Gender,Ethnicity,Child's First Name,Count,Rank
2011,FEMALE,HISPANIC,Leslie,66,27
2011,FEMALE,HISPANIC,Scarlett,65,28
2011,FEMALE,HISPANIC,Zoe,65,28
2011,FEMALE,WHITE NON HISPANIC,Sophie,65,34
2011,FEMALE,WHITE NON HISPANIC,Eva,64,35
2011,FEMALE,WHITE NON HISPANIC,Malka,63,36
2011,FEMALE,HISPANIC,Kayla,62,31
2011,FEMALE,WHITE NON HISPANIC,Amelia,62,37
2011,FEMALE,HISPANIC,Katherine,60,33
2011,FEMALE,HISPANIC,Jennifer,59,34
2011,FEMALE,HISPANIC,Maria,59,34
2011,FEMALE,WHITE NON HISPANIC,Malky,59,38
2011,FEMALE,HISPANIC,Khloe,57,35
2011,FEMALE,WHITE NON HISPANIC,Madison,57,39
2011,FEMALE,WHITE NON HISPANIC,Alexa,54,40
2011,FEMALE,WHITE NON HISPANIC,Rebecca,54,40
2011,FEMALE,HISPANIC,Sarah,53,38
2011,FEMALE,HISPANIC,Valerie,53,38
2011,FEMALE,HISPANIC,Layla,52,39
2011,FEMALE,WHITE NON HISPANIC,Avery,52,41
2011,FEMALE,WHITE NON HISPANIC,Caroline,52,41
2011,FEMALE,HISPANIC,Jayleen,51,40
2011,FEMALE,HISPANIC,Michelle,51,40
2011,FEMALE,WHITE NON HISPANIC,Raizy,51,42
2011,FEMALE,HISPANIC,Jade,50,41
2011,FEMALE,HISPANIC,Melissa,50,41
2011,FEMALE,HISPANIC,Natalia,50,41
2011,FEMALE,HISPANIC,Stephanie,50,41
2011,FEMALE,WHITE NON HISPANIC,Alice,50,43
2011,FEMALE,WHITE NON HISPANIC,Angelina,50,43
2011,FEMALE,HISPANIC,Gianna,49,42
2011,FEMALE,HISPANIC,Maya,49,42
2011,FEMALE,WHITE NON HISPANIC,Shaindy,48,44
2011,FEMALE,WHITE NON HISPANIC,Lillian,47,45
2011,FEMALE,WHITE NON HISPANIC,Lucy,47,45
2011,FEMALE,HISPANIC,Jessica,46,44
2011,FEMALE,HISPANIC,Jocelyn,46,44
2011,FEMALE,HISPANIC,Natalie,46,44
2011,FEMALE,WHITE NON HISPANIC,Chava,46,46
2011,FEMALE,WHITE NON HISPANIC,Naomi,46,46
2011,FEMALE,HISPANIC,Valeria,45,45
2011,FEMALE,WHITE NON HISPANIC,Kayla,45,47
2011,FEMALE,WHITE NON HISPANIC,Nicole,45,47
2011,FEMALE,WHITE NON HISPANIC,Devorah,44,48
2011,FEMALE,WHITE NON HISPANIC,Katherine,44,48
2011,FEMALE,WHITE NON HISPANIC,Rivky,43,49
2011,FEMALE,HISPANIC,Vanessa,42,47
2011,FEMALE,HISPANIC,Jasmine,41,48
2011,FEMALE,HISPANIC,Karen,41,48
2011,FEMALE,HISPANIC,Kelly,41,48
2011,FEMALE,WHITE NON HISPANIC,Daniella,41,50
2011,FEMALE,WHITE NON HISPANIC,Dina,41,50
2011,FEMALE,WHITE NON HISPANIC,Giuliana,41,50
2011,FEMALE,WHITE NON HISPANIC,Baila,40,51
2011,FEMALE,WHITE NON HISPANIC,Natalie,40,51
